id_ref,created_ref,valid_ref,volume,pt_supervoxel_id,pt_root_id,id,created,valid,target_id,session,scan_idx,unit_id,field,residual,score,pt_position,bb_start_position,bb_end_position,target_id_ext
291113,2020-09-28 22:45:19.345287+00:00,True,371.30667,90148478063383840,864691136380268245,131,2024-12-18 19:00:18.379465+00:00,True,291113,4,7,805,2,11.717216,8.25724,[184464 106672  20599],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291113
291160,2020-09-28 22:44:38.687350+00:00,True,270.54407,90007603203593521,864691136288598467,132,2024-12-18 19:00:18.380020+00:00,True,291160,4,7,806,2,14.075236,2.1442134,[183424 105440  21503],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291160
291316,2020-09-28 22:44:02.600695+00:00,True,209.81497,90218915728209651,864691136524089489,133,2024-12-18 19:00:18.380568+00:00,True,291316,4,7,807,2,21.0156,-9.3108,[185248 106992  22018],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291316
291334,2020-09-28 22:40:56.810485+00:00,True,293.71762,90710397493048266,864691136389688695,134,2024-12-18 19:00:18.381127+00:00,True,291334,4,7,808,2,3.7218108,16.526737,[188512  98944  22603],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291334
291299,2020-09-28 22:43:33.562701+00:00,True,288.15768,89725784763726337,864691135892214409,140,2024-12-18 19:00:18.384625+00:00,True,291299,4,7,817,2,8.381496,8.982924,[181488 102960  22492],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291299
291295,2020-09-28 22:43:45.585565+00:00,True,351.3031,89655965775362211,864691136137293195,141,2024-12-18 19:00:18.385190+00:00,True,291295,4,7,818,2,23.2012,-10.5556,[180848 106784  22495],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291295
255221,2020-09-28 22:41:06.917313+00:00,True,239.36827,89233340993163084,864691135102353696,142,2024-12-18 19:00:18.385733+00:00,True,255221,4,7,819,2,14.5326,10.8218,[178048 104048  22251],[<NA> <NA> <NA>],[<NA> <NA> <NA>],255221
255156,2020-09-28 22:44:47.808788+00:00,True,283.86707,88318684623440565,864691135325071004,151,2024-12-18 19:00:18.390745+00:00,True,255156,4,7,829,2,2.4424639,10.461097,[171408 104688  21097],[<NA> <NA> <NA>],[<NA> <NA> <NA>],255156
255125,2020-09-28 22:43:03.823816+00:00,True,318.94388,88671215471862556,864691136011684526,152,2024-12-18 19:00:18.391321+00:00,True,255125,4,7,830,2,22.1425,-1.2616,[173712 110096  20501],[<NA> <NA> <NA>],[<NA> <NA> <NA>],255125
255121,2020-09-28 22:42:51.071547+00:00,True,229.52985,88459696923033940,864691136111478712,154,2024-12-18 19:00:18.392592+00:00,True,255121,4,7,832,2,12.094544,-2.9471548,[172256 107072  20992],[<NA> <NA> <NA>],[<NA> <NA> <NA>],255121
255213,2020-09-28 22:44:51.513571+00:00,True,290.13016,88529516112574765,864691135375745736,280,2024-12-18 19:00:18.463552+00:00,True,255213,4,7,969,2,3.934034,10.380826,[172640 102976  22379],[<NA> <NA> <NA>],[<NA> <NA> <NA>],255213
291315,2020-09-28 22:44:23.483751+00:00,True,248.25266,90218434691891001,864691135655390658,312,2024-12-18 19:00:18.481422+00:00,True,291315,4,7,1007,2,7.6380305,11.587503,[184960 103440  22028],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291315
291110,2020-09-28 22:41:30.636593+00:00,True,343.5674,89937646775794211,864691136445215875,333,2024-12-18 19:00:18.493105+00:00,True,291110,4,7,1032,2,19.948849,1.4972457,[183328 108400  21057],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291110
291175,2020-09-28 22:41:44.180462+00:00,True,376.86328,90570209626369807,864691136674749575,348,2024-12-18 19:00:18.501729+00:00,True,291175,4,7,1048,2,7.3437395,6.137122,[187504 102896  21656],[<NA> <NA> <NA>],[<NA> <NA> <NA>],291175
