id_ref,created_ref,valid_ref,volume,pt_supervoxel_id,pt_root_id,id,created,valid,target_id,session,scan_idx,unit_id,field,residual,score,pt_position,bb_start_position,bb_end_position,target_id_ext
292684,2020-09-28 22:45:19.428363+00:00,True,372.53873,91134396396288966,864691134950156796,50009,2024-12-18 19:02:46.471557+00:00,True,292684,7,4,2158,2,10.304643,1.7584486,[192032 112224  20746],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292684
292889,2020-09-28 22:44:27.240567+00:00,True,254.00066,91134465250137874,864691136126503206,50013,2024-12-18 19:02:46.473745+00:00,True,292889,7,4,2162,2,3.4827824,8.972762,[191888 112464  21903],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292889
292666,2020-09-28 22:44:02.529861+00:00,True,209.28528,90501215137650063,864691135757002450,50042,2024-12-18 19:02:46.489799+00:00,True,292666,7,4,2196,2,13.983134,-3.24818,[187104 112880  20725],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292666
292646,2020-09-28 22:45:13.921913+00:00,True,345.55234,89868446128941331,864691135738969220,50043,2024-12-18 19:02:46.490335+00:00,True,292646,7,4,2197,2,6.2813416,5.16161,[182528 117344  20379],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292646
292728,2020-09-28 22:45:05.946027+00:00,True,318.60342,90360615155179836,864691136058646488,50045,2024-12-18 19:02:46.491415+00:00,True,292728,7,4,2199,2,1.9257232,8.506238,[186096 114176  21111],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292728
292712,2020-09-28 22:44:30.540031+00:00,True,257.90857,89797871360450461,864691135943593332,50046,2024-12-18 19:02:46.491943+00:00,True,292712,7,4,2200,2,7.91319,3.25681,[182048 115584  21330],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292712
292734,2020-09-28 22:43:41.533998+00:00,True,294.29663,90571584016011523,864691135540272498,50047,2024-12-18 19:02:46.492482+00:00,True,292734,7,4,2201,2,11.429761,0.05098708,[187568 113216  21732],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292734
292671,2020-09-28 22:40:49.673282+00:00,True,225.59294,90642090131819352,864691136211325884,50048,2024-12-18 19:02:46.493018+00:00,True,292671,7,4,2202,2,7.7670965,3.3138685,[188352 114080  21059],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292671
292838,2020-09-28 22:41:22.400526+00:00,True,285.25903,90149302965492552,864691135701629474,50051,2024-12-18 19:02:46.494623+00:00,True,292838,7,4,2205,2,4.5453887,5.90916,[184416 112704  22591],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292838
292951,2020-09-28 22:44:13.651151+00:00,True,230.7331,90500940527985455,864691135587666812,50053,2024-12-18 19:02:46.495813+00:00,True,292951,7,4,2207,2,8.130662,3.1375842,[187312 111232  22632],[<NA> <NA> <NA>],[<NA> <NA> <NA>],292951
