unit_id,pt_root_id,allen_slanted_cell_type,allen_slanted_layer
2158,864691134950156796,23P,L2/3
2162,864691136126503206,23P,L2/3
2196,864691135757002450,23P,L2/3
2197,864691135738969220,23P,L2/3
2199,864691136058646488,23P,L2/3
2200,864691135943593332,23P,L2/3
2201,864691135540272498,23P,L2/3
2202,864691136211325884,23P,L2/3
2205,864691135701629474,23P,L2/3
2207,864691135587666812,23P,L2/3
2237,864691135336847849,23P,L2/3
2238,864691136138779517,23P,L2/3
2239,864691135067961412,23P,L2/3
2240,864691135572576237,23P,L2/3
2241,864691135498973715,23P,L2/3
2277,864691135573191405,23P,L2/3
2278,864691137198691137,23P,L2/3
2280,864691135947258916,23P,L2/3
2448,864691136177731846,23P,L2/3
2484,864691136314404669,23P,L2/3
2541,864691135309722950,23P,L2/3
2648,864691136177778950,23P,L2/3
2678,864691135464671550,23P,L2/3
2738,864691136177726726,23P,L2/3
2757,864691135839950227,23P,L2/3
2778,864691135448303762,23P,L2/3
2842,864691136976001308,23P,L2/3
2859,864691135739689073,23P,L2/3
2860,864691134919972106,23P,L2/3
2976,864691135398817569,23P,L2/3
5404,864691135409940425,23P,L2/3
5432,864691135587758716,23P,L2/3
5435,864691136665051614,23P,L2/3
5436,864691135732210873,23P,L2/3
5437,864691135015652246,23P,L2/3
5438,864691136091532855,23P,L2/3
5439,864691136389921911,23P,L2/3
5440,864691135743102827,23P,L2/3
5441,864691136331247338,23P,L2/3
5442,864691135470787666,23P,L2/3
5444,864691135493051879,23P,L2/3
5446,864691136042462038,23P,L2/3
5474,864691136298125851,23P,L2/3
5475,864691135763433270,23P,L2/3
5476,864691136011686318,23P,L2/3
5477,864691135294442678,23P,L2/3
5479,864691135584504429,23P,L2/3
5505,864691135258646703,23P,L2/3
5506,864691135276132325,23P,L2/3
5507,864691135183999490,23P,L2/3
5508,864691135455400554,23P,L2/3
5509,864691136314491965,23P,L2/3
5735,864691135518283475,23P,L2/3
5743,864691135493686111,23P,L2/3
5875,864691135294361782,23P,L2/3
5908,864691135741930603,23P,L2/3
5940,864691135619756943,23P,L2/3
6191,864691135465932357,23P,L2/3
6216,864691135210134905,23P,L2/3
8955,864691135518173395,23P,L2/3
8861,864691136211371452,4P,L4
8868,864691136968773070,4P,L4
8904,864691135196592938,4P,L4
8906,864691135742247787,4P,L4
8907,864691135593133067,4P,L4
8908,864691135215023416,4P,L4
8909,864691135490505018,4P,L4
8910,864691136229363025,4P,L4
8911,864691134966710559,4P,L4
8912,864691136058745048,4P,L4
8913,864691135916843366,4P,L4
8914,864691136453442303,4P,L4
8916,864691136101341045,4P,L4
8956,864691135920571056,4P,L4
8957,864691136488999186,4P,L4
8958,864691135594982187,4P,L4
8959,864691135214977920,4P,L4
8960,864691136111556792,4P,L4
8962,864691136052688115,4P,L4
8963,864691135490483514,4P,L4
8964,864691135305643175,4P,L4
9001,864691135478429352,4P,L4
9002,864691136011768494,4P,L4
9004,864691135727799359,4P,L4
9155,864691136391034487,4P,L4
9330,864691135703164283,4P,L4
9337,864691135779716797,4P,L4
9390,864691135802341986,4P,L4
9401,864691135493624415,4P,L4
9427,864691135760319822,4P,L4
9428,864691135728030015,4P,L4
9446,864691135662802416,4P,L4
9465,864691135717457178,4P,L4
9553,864691135295330828,4P,L4
9651,864691135656664770,4P,L4
11878,864691135720061233,5P-IT,L5
11882,864691135885406064,5P-IT,L5
11883,864691135480652998,5P-IT,L5
11884,864691136010928046,5P-IT,L5
11889,864691135346975135,5P-IT,L5
11930,864691135970210661,5P-IT,L5
11934,864691135375767369,5P-IT,L5
11970,864691135741910164,5P-IT,L5
11973,864691136118805668,5P-IT,L5
12286,864691135398243105,5P-IT,L5
12562,864691135878061395,5P-IT,L5
12568,864691135929072340,5P-IT,L5
12619,864691135570135020,5P-IT,L5
12637,864691135868919318,5P-IT,L5
11886,864691135566168599,5P-PT,L5
11887,864691136195798504,5P-PT,L5
11888,864691136330101226,5P-PT,L5
11929,864691135585266808,5P-PT,L5
11933,864691136022520056,5P-PT,L5
11935,864691137021264750,5P-PT,L5
11936,864691135779049056,5P-PT,L5
11971,864691135977666883,5P-PT,L5
12246,864691135811658700,5P-PT,L5
12267,864691135640544571,5P-PT,L5
12284,864691135948123745,5P-PT,L5
12290,864691135258642863,5P-PT,L5
12316,864691135774389755,5P-PT,L5
12346,864691135214123064,5P-PT,L5
12372,864691135617409385,5P-PT,L5
9000,864691136380816597,Unsure E,Unsure/Other
11931,864691135308295238,Unsure E,Unsure/Other
