k_fraction,K,rank,rank_normalized,mean_eigenvalue,std_eigenvalue
0.125,16,1,0.0625,362.67407663188015,206.28940461092873
0.125,16,2,0.125,186.42816541390886,111.95625563036968
0.125,16,3,0.1875,114.38542449085666,66.5266097720796
0.125,16,4,0.25,74.74343873368005,35.12884250471048
0.125,16,5,0.3125,55.59176757463972,19.702309897821696
0.125,16,6,0.375,46.060577617892726,15.132834268755396
0.125,16,7,0.4375,38.25873763294394,13.773256778953867
0.125,16,8,0.5,31.474305059815194,11.534621663152748
0.125,16,9,0.5625,26.13848924477174,9.57680210705957
0.125,16,10,0.625,21.289179745806706,7.67743504439383
0.125,16,11,0.6875,18.3770142301859,6.846238762028753
0.125,16,12,0.75,15.875989805512674,6.294657242090886
0.125,16,13,0.8125,12.825591367694924,5.215274792372532
0.125,16,14,0.875,9.631785382627926,4.030151262527727
0.125,16,15,0.9375,6.556363756646081,3.7888079412648223
0.125,16,16,1.0,3.2781634928915326,2.5798048427462987
0.25,32,1,0.03125,541.5927101597683,156.5278077686287
0.25,32,2,0.0625,342.87230842396684,142.94311986102994
0.25,32,3,0.09375,229.70104191340943,103.66844561607391
0.25,32,4,0.125,157.73941314496577,73.53125029116572
0.25,32,5,0.15625,117.93591364611976,55.64544366040744
0.25,32,6,0.1875,94.3080589103297,34.849620521420356
0.25,32,7,0.21875,79.52415587913637,24.160648086656913
0.25,32,8,0.25,68.93883425634634,16.840339261943456
0.25,32,9,0.28125,60.59860505196385,10.999997257624752
0.25,32,10,0.3125,54.66550093657816,10.591719348484538
0.25,32,11,0.34375,49.6888871051418,9.28863402594654
0.25,32,12,0.375,45.09414557543542,8.81337773152855
0.25,32,13,0.40625,40.36763351268872,7.242009118011563
0.25,32,14,0.4375,36.90125560737822,6.93264224180789
0.25,32,15,0.46875,33.940556909209846,6.580913930101605
0.25,32,16,0.5,30.99573455852853,6.15769044708052
0.25,32,17,0.53125,28.0249613538884,5.928169753094325
0.25,32,18,0.5625,25.09869109430113,5.5580597864300065
0.25,32,19,0.59375,22.528843987729104,4.78767667041585
0.25,32,20,0.625,20.520857000210366,3.8405488357730566
0.25,32,21,0.65625,18.724281130505606,2.9731399856025917
0.25,32,22,0.6875,16.717343415313643,2.5207543990573487
0.25,32,23,0.71875,15.378957422452809,2.650068018615291
0.25,32,24,0.75,14.309850850695135,2.2863754122042077
0.25,32,25,0.78125,12.85471754135082,2.1715525773088107
0.25,32,26,0.8125,11.673759424433635,2.4371837454005894
0.25,32,27,0.84375,10.259932338153174,2.6926964089371936
0.25,32,28,0.875,8.611703616851594,2.9439058001725074
0.25,32,29,0.90625,7.060871643273116,2.8418794327108703
0.25,32,30,0.9375,5.517283818231273,2.64419903535982
0.25,32,31,0.96875,3.9741286375381204,2.04646757503713
0.25,32,32,1.0,2.3174528499181997,1.2034397592361752
0.5,63,1,0.015873015873015872,664.9642291111818,120.15214671858445
0.5,63,2,0.031746031746031744,513.4978696173531,124.12928829956417
0.5,63,3,0.047619047619047616,407.3304918793897,75.47770491200481
0.5,63,4,0.06349206349206349,332.8800562079685,78.88091183323715
0.5,63,5,0.07936507936507936,274.66559607126305,74.1561609569357
0.5,63,6,0.09523809523809523,224.35557246747913,59.137178881425776
0.5,63,7,0.1111111111111111,181.22468513513402,43.7769294360394
0.5,63,8,0.12698412698412698,151.96462786199888,35.7793111957814
0.5,63,9,0.14285714285714285,131.12412778339606,30.953173743127188
0.5,63,10,0.15873015873015872,114.79930940547811,28.506086479845564
0.5,63,11,0.1746031746031746,100.26715293504404,23.895884154230274
0.5,63,12,0.19047619047619047,88.54565692357228,16.18042041330994
0.5,63,13,0.20634920634920634,82.20343296144769,13.148303071296137
0.5,63,14,0.2222222222222222,76.21705545426704,8.654648492987228
0.5,63,15,0.23809523809523808,71.84284110530933,9.295805064276385
0.5,63,16,0.25396825396825395,68.05352749162834,9.214216776113531
0.5,63,17,0.2698412698412698,64.25650215792332,8.994771843430945
0.5,63,18,0.2857142857142857,60.3821240626831,8.607188650870318
0.5,63,19,0.30158730158730157,56.53814370283506,7.574257768771193
0.5,63,20,0.31746031746031744,53.196668227633424,7.227783733514396
0.5,63,21,0.3333333333333333,50.43995649864762,6.023240451446604
0.5,63,22,0.3492063492063492,47.89734313742749,5.843125287119018
0.5,63,23,0.36507936507936506,45.731088836295484,5.756760439044568
0.5,63,24,0.38095238095238093,43.828588232053555,5.7208393164115545
0.5,63,25,0.3968253968253968,41.95820629185225,5.4309114255686
0.5,63,26,0.4126984126984127,39.873529862764904,5.2046440096176925
0.5,63,27,0.42857142857142855,37.98240155245725,4.871254773714168
0.5,63,28,0.4444444444444444,36.24157622571606,4.623965284071066
0.5,63,29,0.4603174603174603,34.34865043108205,4.285462287532029
0.5,63,30,0.47619047619047616,32.74147804325737,4.315565958844153
0.5,63,31,0.49206349206349204,31.15800899132432,4.526756202302759
0.5,63,32,0.5079365079365079,29.324742704638233,4.505345568929866
0.5,63,33,0.5238095238095238,27.96162248914742,4.483017602373524
0.5,63,34,0.5396825396825397,26.393689472033184,4.500026279238996
0.5,63,35,0.5555555555555556,25.020584787514284,4.411433910261831
0.5,63,36,0.5714285714285714,23.806367248467694,4.195538058731791
0.5,63,37,0.5873015873015873,22.404697059259448,3.7272661458104928
0.5,63,38,0.6031746031746031,21.237928553573884,3.4207682547189457
0.5,63,39,0.6190476190476191,20.05011035031553,2.853358456656441
0.5,63,40,0.6349206349206349,18.91804834655069,2.1104057829682925
0.5,63,41,0.6507936507936508,18.102562180523318,1.9704441267339134
0.5,63,42,0.6666666666666666,17.376179888610956,1.954205046449032
0.5,63,43,0.6825396825396826,16.60727266429745,1.8612917367050645
0.5,63,44,0.6984126984126984,15.770337351248,1.5603561880008985
0.5,63,45,0.7142857142857143,15.012346800292823,1.2846126063098355
0.5,63,46,0.7301587301587301,14.458327961258092,1.0946481940704955
0.5,63,47,0.746031746031746,14.020261211969915,0.9569431819268523
0.5,63,48,0.7619047619047619,13.619940681028268,0.9251134864537074
0.5,63,49,0.7777777777777778,13.198612629945202,0.8842174885553783
0.5,63,50,0.7936507936507936,12.640572494745292,1.0067919992373642
0.5,63,51,0.8095238095238095,12.038938411092197,1.2003069002728581
0.5,63,52,0.8253968253968254,11.383690307357819,1.3664653167279133
0.5,63,53,0.8412698412698413,10.753384475508273,1.514067141437101
0.5,63,54,0.8571428571428571,9.826543402922793,1.6641772823608272
0.5,63,55,0.873015873015873,9.003512610087025,1.7422253058948738
0.5,63,56,0.8888888888888888,7.872905795163205,1.8118693536491361
0.5,63,57,0.9047619047619048,6.906802929231667,1.7807571273328542
0.5,63,58,0.9206349206349206,6.092357521639841,1.6287579661328884
0.5,63,59,0.9365079365079365,5.082872109945807,1.4843962878585195
0.5,63,60,0.9523809523809523,4.156758948242317,1.2645429816546943
0.5,63,61,0.9682539682539683,3.2000626875222533,1.1253443525341629
0.5,63,62,0.9841269841269841,2.2993969032478785,0.9951649573979978
0.5,63,63,1.0,1.6713480687653126,0.7491693047981284
0.75,94,1,0.010638297872340425,746.8053597647893,49.9853606036106
0.75,94,2,0.02127659574468085,622.410869363677,109.88494285936234
0.75,94,3,0.031914893617021274,475.16277134073636,38.991592929559495
0.75,94,4,0.0425531914893617,424.49560054802134,48.371162800480676
0.75,94,5,0.05319148936170213,370.9331525069632,60.53610799601613
0.75,94,6,0.06382978723404255,316.6355203376566,55.51568262622944
0.75,94,7,0.07446808510638298,276.9960254835775,44.29201463323643
0.75,94,8,0.0851063829787234,240.03549744989763,37.491457637827274
0.75,94,9,0.09574468085106383,212.31773900064334,34.54952881638851
0.75,94,10,0.10638297872340426,184.2604446809129,29.948973293768564
0.75,94,11,0.11702127659574468,164.06087886186887,26.422105649815435
0.75,94,12,0.1276595744680851,147.1419261805158,22.561236898684406
0.75,94,13,0.13829787234042554,131.20210460243277,22.558946188756536
0.75,94,14,0.14893617021276595,116.95074124982548,23.421490528010086
0.75,94,15,0.1595744680851064,105.18987358526218,21.023649476064637
0.75,94,16,0.1702127659574468,93.98232556836192,14.52479008214266
0.75,94,17,0.18085106382978725,86.44991150523111,7.633476846014087
0.75,94,18,0.19148936170212766,82.2076145587417,3.959849597729817
0.75,94,19,0.20212765957446807,79.73781218304427,4.270158856274165
0.75,94,20,0.2127659574468085,77.23483728344176,4.62762456233936
0.75,94,21,0.22340425531914893,74.80237987772566,5.347722948149327
0.75,94,22,0.23404255319148937,71.85882906366774,6.088193913406916
0.75,94,23,0.24468085106382978,68.19042789187057,6.478153133390287
0.75,94,24,0.2553191489361702,64.67698224506847,6.1994664339504935
0.75,94,25,0.26595744680851063,61.348286863218746,5.62803082248106
0.75,94,26,0.2765957446808511,58.55702667357479,4.894115529798963
0.75,94,27,0.2872340425531915,55.97029737304766,4.198841102746576
0.75,94,28,0.2978723404255319,53.86833146140818,3.3738249173111394
0.75,94,29,0.30851063829787234,52.08201098399981,3.0319858617101523
0.75,94,30,0.3191489361702128,50.649544514089165,2.7432334918486205
0.75,94,31,0.32978723404255317,49.279015979321905,2.8206242088019566
0.75,94,32,0.3404255319148936,47.79202008549046,2.91270631768698
0.75,94,33,0.35106382978723405,46.599666788315815,2.948065851440959
0.75,94,34,0.3617021276595745,44.91478295719409,2.8697144597989674
0.75,94,35,0.3723404255319149,43.35120587909432,3.0158171694234746
0.75,94,36,0.3829787234042553,42.015621319162285,3.045882059393524
0.75,94,37,0.39361702127659576,40.52132541291045,2.991499295847365
0.75,94,38,0.40425531914893614,38.99832966949195,3.0916442121160435
0.75,94,39,0.4148936170212766,37.62830920368035,3.025092571026026
0.75,94,40,0.425531914893617,36.34232628011556,2.8449509937518713
0.75,94,41,0.43617021276595747,35.19560447366561,2.5768898560752804
0.75,94,42,0.44680851063829785,34.24669466921756,2.289559487617888
0.75,94,43,0.4574468085106383,33.185413478731746,2.107354818943822
0.75,94,44,0.46808510638297873,32.34185834242455,2.198244340436086
0.75,94,45,0.4787234042553192,31.456011743843927,2.317530949284613
0.75,94,46,0.48936170212765956,30.578003729387795,2.296239290202587
0.75,94,47,0.5,29.737908678972616,2.338138484969542
0.75,94,48,0.5106382978723404,28.683830941806217,2.539728430802638
0.75,94,49,0.5212765957446809,27.514972877395245,2.7620706936820025
0.75,94,50,0.5319148936170213,26.241311837740223,2.751212943384995
0.75,94,51,0.5425531914893617,24.948860131395413,2.8850074979734157
0.75,94,52,0.5531914893617021,23.76127848147691,2.7161212699020356
0.75,94,53,0.5638297872340425,22.737425626373714,2.4048157655144
0.75,94,54,0.574468085106383,21.877263688175994,2.102466826251415
0.75,94,55,0.5851063829787234,21.023532381978967,1.647041829500485
0.75,94,56,0.5957446808510638,20.36383821224585,1.1637162914706227
0.75,94,57,0.6063829787234043,19.785185457770957,0.9708838016897933
0.75,94,58,0.6170212765957447,19.386198144170677,0.9731780612465075
0.75,94,59,0.6276595744680851,18.91441985291395,0.9949530748901152
0.75,94,60,0.6382978723404256,18.501834205979666,0.9605860861796309
0.75,94,61,0.648936170212766,18.02672217297383,1.034286686280639
0.75,94,62,0.6595744680851063,17.511383622835304,1.0702961009784568
0.75,94,63,0.6702127659574468,16.92823480247351,1.1848756790750399
0.75,94,64,0.6808510638297872,16.323902961596986,1.1860215340918865
0.75,94,65,0.6914893617021277,15.720109949477699,1.1069011632888606
0.75,94,66,0.7021276595744681,15.150105809055747,0.9460680012524332
