k_fraction,K,rank,rank_normalized,mean_eigenvalue,std_eigenvalue
0.125,16,1,0.0625,2.1351590515333148,0.301721668436265
0.125,16,2,0.125,1.822283722155324,0.29284324340032136
0.125,16,3,0.1875,1.5573543376805354,0.22444667855296105
0.125,16,4,0.25,1.3799768354494648,0.18761857127708995
0.125,16,5,0.3125,1.2480591999177872,0.1790661825929627
0.125,16,6,0.375,1.133830140375497,0.1707767344642321
0.125,16,7,0.4375,1.038092936120977,0.155073818563944
0.125,16,8,0.5,0.9548368235741456,0.15051619484219633
0.125,16,9,0.5625,0.8573168723713777,0.1325116817873785
0.125,16,10,0.625,0.7931918013911861,0.1331598664313101
0.125,16,11,0.6875,0.7192200097990006,0.12123628811840645
0.125,16,12,0.75,0.6491216999118167,0.10983919077945817
0.125,16,13,0.8125,0.5733716795437472,0.10565364559434828
0.125,16,14,0.875,0.5041974154972746,0.10191483493807346
0.125,16,15,0.9375,0.4365558207137334,0.08204833548397147
0.125,16,16,1.0,0.3623300607650814,0.06829780519125135
0.25,32,1,0.03125,2.453009601868914,0.14364113318800364
0.25,32,2,0.0625,2.095264930254518,0.14400569198534766
0.25,32,3,0.09375,1.9032702984827734,0.1852219587573611
0.25,32,4,0.125,1.7213808027871829,0.15999116344482356
0.25,32,5,0.15625,1.580268895658117,0.15615832999016144
0.25,32,6,0.1875,1.4669898417099823,0.12909169533638654
0.25,32,7,0.21875,1.377200021204129,0.11647719733794737
0.25,32,8,0.25,1.3113072516504156,0.10939522609840523
0.25,32,9,0.28125,1.2477940466129938,0.10446913504356328
0.25,32,10,0.3125,1.189416775721959,0.08965041520372945
0.25,32,11,0.34375,1.1425665854369527,0.08871999037591649
0.25,32,12,0.375,1.0955938575306636,0.08868296416004916
0.25,32,13,0.40625,1.0495938217405307,0.08465543323189172
0.25,32,14,0.4375,0.9903197725658256,0.08766089267575017
0.25,32,15,0.46875,0.9432650695683473,0.0859464368158673
0.25,32,16,0.5,0.8979786120493489,0.07959152246669823
0.25,32,17,0.53125,0.8561296815129543,0.07751063679740168
0.25,32,18,0.5625,0.8141400508326071,0.0735789402466441
0.25,32,19,0.59375,0.7777479149480273,0.06776814882870033
0.25,32,20,0.625,0.7429909480245542,0.06496558356316028
0.25,32,21,0.65625,0.7117481304043172,0.06243311865038846
0.25,32,22,0.6875,0.6809290897708092,0.05946995702734688
0.25,32,23,0.71875,0.6460778675339428,0.05808755150464849
0.25,32,24,0.75,0.6085327285296023,0.051402906068848245
0.25,32,25,0.78125,0.5716475767331266,0.05947263686880653
0.25,32,26,0.8125,0.5323253952971412,0.06130287643906405
0.25,32,27,0.84375,0.494085642467533,0.060691635599913064
0.25,32,28,0.875,0.45588971529075806,0.05294084646050486
0.25,32,29,0.90625,0.4193318558009595,0.04966648464328135
0.25,32,30,0.9375,0.38095060310448486,0.04429856644957162
0.25,32,31,0.96875,0.3445538645394872,0.03541027775377484
0.25,32,32,1.0,0.3106355598615241,0.02433389930040197
0.5,63,1,0.015873015873015872,3.346767590993336,0.1116595668032429
0.5,63,2,0.031746031746031744,2.317117126276861,0.07640901144453072
0.5,63,3,0.047619047619047616,2.2022005433457936,0.06957845383728509
0.5,63,4,0.06349206349206349,2.1053892073082894,0.1003506756507962
0.5,63,5,0.07936507936507936,2.0226145059881033,0.12037697101512371
0.5,63,6,0.09523809523809523,1.9221891217585827,0.1415232723017888
0.5,63,7,0.1111111111111111,1.792950441815751,0.13362535897422678
0.5,63,8,0.12698412698412698,1.7017283207318576,0.12182940728878161
0.5,63,9,0.14285714285714285,1.6292126321400693,0.09804171813104753
0.5,63,10,0.15873015873015872,1.5681367418429317,0.08921582496056724
0.5,63,11,0.1746031746031746,1.5136496199167397,0.08457184897004358
0.5,63,12,0.19047619047619047,1.4581796242879688,0.08867570012687444
0.5,63,13,0.20634920634920634,1.404022928892168,0.08747760057967999
0.5,63,14,0.2222222222222222,1.350368695094902,0.08226939485552301
0.5,63,15,0.23809523809523808,1.3058728319785096,0.07220243833302681
0.5,63,16,0.25396825396825395,1.2737473510054595,0.0625200101253069
0.5,63,17,0.2698412698412698,1.2410057803608896,0.06200364908732927
0.5,63,18,0.2857142857142857,1.2129563461910653,0.05372908640194164
0.5,63,19,0.30158730158730157,1.1882024091536945,0.054994090378871915
0.5,63,20,0.31746031746031744,1.1626595510394637,0.0511115314431642
0.5,63,21,0.3333333333333333,1.1394093724099768,0.05259176322282557
0.5,63,22,0.3492063492063492,1.1164331453845133,0.05492034318819486
0.5,63,23,0.36507936507936506,1.0936041349336145,0.05706207802130992
0.5,63,24,0.38095238095238093,1.0716838757073512,0.05987074726795051
0.5,63,25,0.3968253968253968,1.046380802172716,0.0625569261377063
0.5,63,26,0.4126984126984127,1.0247446919566006,0.06384924294242911
0.5,63,27,0.42857142857142855,1.0013399631869042,0.06480723916048038
0.5,63,28,0.4444444444444444,0.9751973502538496,0.06530062794516547
0.5,63,29,0.4603174603174603,0.9459584639743445,0.06228521149156145
0.5,63,30,0.47619047619047616,0.9230689473701311,0.062152623350767496
0.5,63,31,0.49206349206349204,0.9020511536723533,0.061396866948119896
0.5,63,32,0.5079365079365079,0.8759470293076802,0.058902249826699955
0.5,63,33,0.5238095238095238,0.8486062672866777,0.05563154601422514
0.5,63,34,0.5396825396825397,0.8280880313073186,0.05238250709066364
0.5,63,35,0.5555555555555556,0.8062004089454793,0.04776202593640154
0.5,63,36,0.5714285714285714,0.7837053180435147,0.04393240413691399
0.5,63,37,0.5873015873015873,0.7649953869579552,0.04378093557584102
0.5,63,38,0.6031746031746031,0.7453879971855905,0.044187745818323194
0.5,63,39,0.6190476190476191,0.7290822540011628,0.04457983190109031
0.5,63,40,0.6349206349206349,0.7117722359369292,0.04504854701737027
0.5,63,41,0.6507936507936508,0.6936095113510511,0.04305176378362728
0.5,63,42,0.6666666666666666,0.676674835366546,0.04484054143728381
0.5,63,43,0.6825396825396826,0.6579577361675055,0.04237387289124358
0.5,63,44,0.6984126984126984,0.6415310012259127,0.041119662089724285
0.5,63,45,0.7142857142857143,0.6248927376352006,0.03894013086016648
0.5,63,46,0.7301587301587301,0.6096757526410858,0.03821154315223253
0.5,63,47,0.746031746031746,0.5931002959920364,0.03781898417406788
0.5,63,48,0.7619047619047619,0.5754588490067198,0.03989490719440675
0.5,63,49,0.7777777777777778,0.5587796445673873,0.040915436134061796
0.5,63,50,0.7936507936507936,0.5415500962202962,0.044584501652466024
0.5,63,51,0.8095238095238095,0.5220447319974348,0.0442454567379982
0.5,63,52,0.8253968253968254,0.5002914478625144,0.042138435545284555
0.5,63,53,0.8412698412698413,0.4805063539342801,0.04412716857889479
0.5,63,54,0.8571428571428571,0.45724546513949255,0.04066841030378026
0.5,63,55,0.873015873015873,0.43714643354767463,0.035162580141293455
0.5,63,56,0.8888888888888888,0.4179849692312396,0.034039903528492794
0.5,63,57,0.9047619047619048,0.39992245317304925,0.03094872903830756
0.5,63,58,0.9206349206349206,0.37968889971872677,0.028762595617038065
0.5,63,59,0.9365079365079365,0.3628366474214736,0.02475569792832843
0.5,63,60,0.9523809523809523,0.34449856203824214,0.02125015284567686
0.5,63,61,0.9682539682539683,0.32774687269432595,0.019042975016937035
0.5,63,62,0.9841269841269841,0.3101729420485801,0.017283749269574385
0.5,63,63,1.0,0.28674452841869175,0.014044626491783313
0.75,94,1,0.010638297872340425,4.3478852852830725,0.07723629709106233
0.75,94,2,0.02127659574468085,2.41172625265552,0.060433984179098926
0.75,94,3,0.031914893617021274,2.30398174613246,0.05022915678078505
0.75,94,4,0.0425531914893617,2.2345180584098285,0.03954813267365881
0.75,94,5,0.05319148936170213,2.184369144360356,0.029352259351102413
0.75,94,6,0.06382978723404255,2.1348000029427197,0.04916411075282229
0.75,94,7,0.07446808510638298,2.063320277602342,0.08161318057270335
0.75,94,8,0.0851063829787234,1.9753480714443108,0.08912501141135587
0.75,94,9,0.09574468085106383,1.8815145706130394,0.08867794173204135
0.75,94,10,0.10638297872340426,1.7909914644324758,0.07642875372135131
0.75,94,11,0.11702127659574468,1.7273009031198956,0.04491086300297392
0.75,94,12,0.1276595744680851,1.6843533561400919,0.04474561098963763
0.75,94,13,0.13829787234042554,1.6431899809700954,0.042871071233994515
0.75,94,14,0.14893617021276595,1.601515567428174,0.04446783001457159
0.75,94,15,0.1595744680851064,1.560002060664521,0.046867173936422535
0.75,94,16,0.1702127659574468,1.5217755757446825,0.04656075496661461
0.75,94,17,0.18085106382978725,1.4847115489290803,0.05254479816616065
0.75,94,18,0.19148936170212766,1.4420243809829814,0.06250209984708993
0.75,94,19,0.20212765957446807,1.3980382427135578,0.06095348780571725
0.75,94,20,0.2127659574468085,1.356262558644466,0.0503935509922103
0.75,94,21,0.22340425531914893,1.3255690369093227,0.042924730952222954
0.75,94,22,0.23404255319148937,1.2973357984118965,0.03122206767715337
0.75,94,23,0.24468085106382978,1.2729845476451869,0.027526311359252834
0.75,94,24,0.2553191489361702,1.2552529403448518,0.026827816537729938
0.75,94,25,0.26595744680851063,1.2334375197633394,0.027933308492375988
0.75,94,26,0.2765957446808511,1.214592565697106,0.02968397715103159
0.75,94,27,0.2872340425531915,1.1940949768754612,0.028180011903825096
0.75,94,28,0.2978723404255319,1.1777008952188859,0.025666448989099866
0.75,94,29,0.30851063829787234,1.159066560764785,0.025995762120099478
0.75,94,30,0.3191489361702128,1.1420645975369945,0.02911861306731911
0.75,94,31,0.32978723404255317,1.125407534668067,0.029736321050531152
0.75,94,32,0.3404255319148936,1.1109300807103706,0.028813228413623933
0.75,94,33,0.35106382978723405,1.0931685469727115,0.027374125141954937
0.75,94,34,0.3617021276595745,1.0792150743309836,0.026780631418004675
0.75,94,35,0.3723404255319149,1.0619416252146798,0.02702422902127172
0.75,94,36,0.3829787234042553,1.0472927037549908,0.028395471153999208
0.75,94,37,0.39361702127659576,1.0337786393062198,0.028458258398707532
0.75,94,38,0.40425531914893614,1.01748032865535,0.030495085800457636
0.75,94,39,0.4148936170212766,0.9968476514747803,0.033148776083240225
0.75,94,40,0.425531914893617,0.9806357997799744,0.03401196267451499
0.75,94,41,0.43617021276595747,0.9628452691648752,0.03226503452216939
0.75,94,42,0.44680851063829785,0.9464665410358168,0.033289973210749106
0.75,94,43,0.4574468085106383,0.9269045462179318,0.03341623544744486
0.75,94,44,0.46808510638297873,0.9133990603236194,0.03514831872534872
0.75,94,45,0.4787234042553192,0.8949163561988229,0.036577581229238855
0.75,94,46,0.48936170212765956,0.8757755589817918,0.03910549534884723
