k_fraction,K,rank,rank_normalized,mean_eigenvalue,std_eigenvalue
0.125,16,1,0.0625,13.607676818619929,1.937140803634912
0.125,16,2,0.125,0.6591376843495244,0.14465964983938795
0.125,16,3,0.1875,0.4110869830146698,0.0716493558536709
0.125,16,4,0.25,0.2902766987040383,0.05191761562291087
0.125,16,5,0.3125,0.21533780544828862,0.03904594521100853
0.125,16,6,0.375,0.17028313101812984,0.023393530001678525
0.125,16,7,0.4375,0.14567000692934295,0.018808338161069287
0.125,16,8,0.5,0.12660938770049002,0.015570476599269559
0.125,16,9,0.5625,0.10997712617916201,0.01253051331364998
0.125,16,10,0.625,0.09959702070899157,0.012295951746386768
0.125,16,11,0.6875,0.08736822242233895,0.010075745147737342
0.125,16,12,0.75,0.07740293175237312,0.009281916379972029
0.125,16,13,0.8125,0.0681431712464006,0.009641603277698469
0.125,16,14,0.875,0.05733297028279776,0.00819248286647631
0.125,16,15,0.9375,0.048616779693856076,0.008328223842691253
0.125,16,16,1.0,0.0390098847454898,0.006703685343292941
0.25,32,1,0.03125,26.626034225242016,2.3598195416942214
0.25,32,2,0.0625,1.1128035782565,0.19485251531268794
0.25,32,3,0.09375,0.65139684273901,0.10227264392826624
0.25,32,4,0.125,0.48967889546511195,0.09547163609731144
0.25,32,5,0.15625,0.3462035673780312,0.045842197350190426
0.25,32,6,0.1875,0.2775198925863254,0.04113888245714212
0.25,32,7,0.21875,0.22867087046100554,0.031736347389732265
0.25,32,8,0.25,0.19829249500125676,0.024053406185446928
0.25,32,9,0.28125,0.17933698937057752,0.01842395131333424
0.25,32,10,0.3125,0.1631432726292008,0.015716712650352162
0.25,32,11,0.34375,0.15002763906467745,0.013763826583051218
0.25,32,12,0.375,0.1404578365148453,0.013155617083665989
0.25,32,13,0.40625,0.13014485886035662,0.011578651738380458
0.25,32,14,0.4375,0.12123990420517883,0.010591966480299773
0.25,32,15,0.46875,0.11402491013379988,0.01070312297003548
0.25,32,16,0.5,0.10680154722085841,0.00986899899114613
0.25,32,17,0.53125,0.0997327830109986,0.00913279022610331
0.25,32,18,0.5625,0.0935056667511243,0.008361013192063192
0.25,32,19,0.59375,0.08716289350213736,0.007314954365020181
0.25,32,20,0.625,0.08127261511377436,0.007228847118277843
0.25,32,21,0.65625,0.07574725219783508,0.007566968289544791
0.25,32,22,0.6875,0.07025134129148054,0.006411114844207098
0.25,32,23,0.71875,0.06581624178832712,0.006514877729294801
0.25,32,24,0.75,0.060263010772857395,0.0064806669711008425
0.25,32,25,0.78125,0.05591402695687746,0.006031788741240839
0.25,32,26,0.8125,0.05131010339590773,0.005615761682883303
0.25,32,27,0.84375,0.04686757476735939,0.005286395285341949
0.25,32,28,0.875,0.04229082667704708,0.004594392794027223
0.25,32,29,0.90625,0.03799433673790893,0.004276661163567842
0.25,32,30,0.9375,0.033783704779784915,0.004006205735990631
0.25,32,31,0.96875,0.02872737627280724,0.003923907401723076
0.25,32,32,1.0,0.023027331326206605,0.003572396001881717
0.5,63,1,0.015873015873015872,52.506170609645125,2.936354126118607
0.5,63,2,0.031746031746031744,2.002639481612034,0.21401664359672634
0.5,63,3,0.047619047619047616,1.1548614717818397,0.14305120898898066
0.5,63,4,0.06349206349206349,0.8833995655249871,0.12054209136883312
0.5,63,5,0.07936507936507936,0.5766546175235568,0.04381732800925698
0.5,63,6,0.09523809523809523,0.44966204432824547,0.033102043952626704
0.5,63,7,0.1111111111111111,0.3730982850778764,0.03429584670468008
0.5,63,8,0.12698412698412698,0.3235457417569464,0.039424228292464926
0.5,63,9,0.14285714285714285,0.2753780625754197,0.02701905728324899
0.5,63,10,0.15873015873015872,0.2445606677377002,0.01914057346245723
0.5,63,11,0.1746031746031746,0.22373193777927214,0.01495911494094505
0.5,63,12,0.19047619047619047,0.20830050334516914,0.012172199567766277
0.5,63,13,0.20634920634920634,0.19718283121312635,0.010779005198330674
0.5,63,14,0.2222222222222222,0.18827881025133164,0.01030630317716709
0.5,63,15,0.23809523809523808,0.1797123617164895,0.008853179880680651
0.5,63,16,0.25396825396825395,0.17345841621712246,0.00971893924144802
0.5,63,17,0.2698412698412698,0.16574353608488276,0.008813040380026305
0.5,63,18,0.2857142857142857,0.15833262054155095,0.007996769737303643
0.5,63,19,0.30158730158730157,0.1519476813446968,0.007647938590669142
0.5,63,20,0.31746031746031744,0.145971780682774,0.00753092201767213
0.5,63,21,0.3333333333333333,0.1406695682789353,0.00675551385374005
0.5,63,22,0.3492063492063492,0.13512816369955571,0.006223343504053034
0.5,63,23,0.36507936507936506,0.1301250868789199,0.006905967886504911
0.5,63,24,0.38095238095238093,0.12518037536822368,0.006945088964752286
0.5,63,25,0.3968253968253968,0.1194743972836161,0.006975903929449534
0.5,63,26,0.4126984126984127,0.11501592438256526,0.006292051368550435
0.5,63,27,0.42857142857142855,0.11063815725539033,0.00621360009317036
0.5,63,28,0.4444444444444444,0.1056891750319036,0.005745684885878685
0.5,63,29,0.4603174603174603,0.10101704133293256,0.005252644578956917
0.5,63,30,0.47619047619047616,0.09690948181848973,0.005375844100376499
0.5,63,31,0.49206349206349204,0.09324868971257376,0.00508376727972176
0.5,63,32,0.5079365079365079,0.0892609744255164,0.005320728630330078
0.5,63,33,0.5238095238095238,0.08542482725828546,0.004926728682821488
0.5,63,34,0.5396825396825397,0.08166743891443189,0.004916423620552316
0.5,63,35,0.5555555555555556,0.07826208735306903,0.004710350991122859
0.5,63,36,0.5714285714285714,0.07475782196404135,0.004283502430594593
0.5,63,37,0.5873015873015873,0.07111411200594775,0.004143211355164351
0.5,63,38,0.6031746031746031,0.06810646567225766,0.0038241834743967034
0.5,63,39,0.6190476190476191,0.06457914233609122,0.003683461590164871
0.5,63,40,0.6349206349206349,0.06148137770804771,0.0038937667596365237
0.5,63,41,0.6507936507936508,0.05852507515178975,0.0036868862177618523
0.5,63,42,0.6666666666666666,0.055420283715169265,0.0036730647952194083
0.5,63,43,0.6825396825396826,0.052711712111493,0.0033059436367015283
0.5,63,44,0.6984126984126984,0.05003177272655356,0.0032581875825261736
0.5,63,45,0.7142857142857143,0.047424517982129474,0.0030875849439576473
0.5,63,46,0.7301587301587301,0.04509850154827768,0.0030508647901663663
0.5,63,47,0.746031746031746,0.04254216498820054,0.002902025266641026
0.5,63,48,0.7619047619047619,0.04009158182593039,0.002784062735287184
0.5,63,49,0.7777777777777778,0.037942726631332344,0.0024622667758685177
0.5,63,50,0.7936507936507936,0.03571137833965194,0.002283405708745558
0.5,63,51,0.8095238095238095,0.03342048783584879,0.0023870502073871105
0.5,63,52,0.8253968253968254,0.0314260077300064,0.0023530938793161365
0.5,63,53,0.8412698412698413,0.029232524488173546,0.0021623728056130295
0.5,63,54,0.8571428571428571,0.027052969821756152,0.0023083917299363843
0.5,63,55,0.873015873015873,0.0249147313945755,0.0018321651602813576
0.5,63,56,0.8888888888888888,0.0228528341244802,0.0019211581718138154
0.5,63,57,0.9047619047619048,0.021030323433974648,0.0017102412807814553
0.5,63,58,0.9206349206349206,0.018960245923935415,0.0017682135664329414
0.5,63,59,0.9365079365079365,0.01708992394059965,0.0015733950564084335
0.5,63,60,0.9523809523809523,0.015123647951770172,0.0014529604623644173
0.5,63,61,0.9682539682539683,0.013481737289630306,0.0015027974798344397
0.5,63,62,0.9841269841269841,0.011567612099761726,0.001435992357861889
0.5,63,63,1.0,0.009206302275055697,0.0015288634227675524
0.75,94,1,0.010638297872340425,77.5571380093349,2.6888659000011477
0.75,94,2,0.02127659574468085,2.869753608019149,0.1812516844014908
0.75,94,3,0.031914893617021274,1.6097290301218328,0.12076823337671244
0.75,94,4,0.0425531914893617,1.3160197353922916,0.10301059704962415
0.75,94,5,0.05319148936170213,0.7997069760435543,0.03828703852865685
0.75,94,6,0.06382978723404255,0.6283117521280611,0.030775148980696602
0.75,94,7,0.07446808510638298,0.46479419139408085,0.018161380111974556
0.75,94,8,0.0851063829787234,0.4192011119195413,0.020808852586237714
0.75,94,9,0.09574468085106383,0.3785862512754698,0.036534970911201996
0.75,94,10,0.10638297872340426,0.3239043277964164,0.019753771885970394
0.75,94,11,0.11702127659574468,0.29469805767573226,0.021137340227449904
0.75,94,12,0.1276595744680851,0.2683907133227969,0.01776767492482867
0.75,94,13,0.13829787234042554,0.24931888419659134,0.009538104869940507
