,0
0,2158
1,2162
2,2196
3,2197
4,2199
5,2200
6,2201
7,2202
8,2205
9,2207
10,2237
11,2238
12,2239
13,2240
14,2241
15,2277
16,2278
17,2280
18,2448
19,2484
20,2541
21,2648
22,2678
23,2738
24,2757
25,2778
26,2842
27,2859
28,2860
29,2976
30,5404
31,5432
32,5435
33,5436
34,5437
35,5438
36,5439
37,5440
38,5441
39,5442
40,5444
41,5446
42,5474
43,5475
44,5476
45,5477
46,5479
47,5505
48,5506
49,5507
50,5508
51,5509
52,5735
53,5743
54,5875
55,5908
56,5940
57,6191
58,6216
59,8861
60,8868
61,8904
62,8906
63,8907
64,8908
65,8909
66,8910
67,8911
68,8912
69,8913
70,8914
71,8916
72,8955
73,8956
74,8957
75,8958
76,8959
77,8960
78,8962
79,8963
80,8964
81,9000
82,9001
83,9002
84,9004
85,9155
86,9330
87,9337
88,9390
89,9401
90,9427
91,9428
92,9446
93,9465
94,9553
95,9651
96,11878
97,11882
98,11883
99,11884
100,11886
101,11887
102,11888
103,11889
104,11929
105,11930
106,11931
107,11933
108,11934
109,11935
110,11936
111,11970
112,11971
113,11973
114,12246
115,12267
116,12284
117,12286
118,12290
119,12316
120,12346
121,12372
122,12562
123,12568
124,12619
125,12637
