source,label_type,label,count,fraction
nucleus_functional_area_assignment,area,V1,126,1.0
allen_v1_column_types_slanted_ref,cell_type,23P,60,0.47619047619047616
allen_v1_column_types_slanted_ref,cell_type,4P,35,0.2777777777777778
allen_v1_column_types_slanted_ref,cell_type,5P-PT,15,0.11904761904761904
allen_v1_column_types_slanted_ref,cell_type,5P-IT,14,0.1111111111111111
allen_v1_column_types_slanted_ref,cell_type,Unsure E,2,0.015873015873015872
allen_v1_column_types_slanted_ref,layer,L2/3,60,0.47619047619047616
allen_v1_column_types_slanted_ref,layer,L4,35,0.2777777777777778
allen_v1_column_types_slanted_ref,layer,L5,29,0.23015873015873015
allen_v1_column_types_slanted_ref,layer,Unsure/Other,2,0.015873015873015872
cell_type_multifeature_combo,cell_type,L2IT,41,0.3253968253968254
cell_type_multifeature_combo,cell_type,L4IT,36,0.2857142857142857
cell_type_multifeature_combo,cell_type,L3IT,18,0.14285714285714285
cell_type_multifeature_combo,cell_type,L5ET,15,0.11904761904761904
cell_type_multifeature_combo,cell_type,L5IT,11,0.0873015873015873
cell_type_multifeature_combo,cell_type,L6IT,5,0.03968253968253968
cell_type_multifeature_combo,layer,L2,41,0.3253968253968254
cell_type_multifeature_combo,layer,L4,36,0.2857142857142857
cell_type_multifeature_combo,layer,L5,26,0.20634920634920634
cell_type_multifeature_combo,layer,L3,18,0.14285714285714285
cell_type_multifeature_combo,layer,L6,5,0.03968253968253968
baylor_gnn_cell_type_fine_model_v2,cell_type,23P,46,0.36507936507936506
baylor_gnn_cell_type_fine_model_v2,cell_type,4P,34,0.2698412698412698
baylor_gnn_cell_type_fine_model_v2,cell_type,Missing,19,0.15079365079365079
baylor_gnn_cell_type_fine_model_v2,cell_type,5P-IT,15,0.11904761904761904
baylor_gnn_cell_type_fine_model_v2,cell_type,5P-PT,10,0.07936507936507936
baylor_gnn_cell_type_fine_model_v2,cell_type,6P-IT,2,0.015873015873015872
baylor_gnn_cell_type_fine_model_v2,layer,L2/3,46,0.36507936507936506
baylor_gnn_cell_type_fine_model_v2,layer,L4,34,0.2698412698412698
baylor_gnn_cell_type_fine_model_v2,layer,L5,25,0.1984126984126984
baylor_gnn_cell_type_fine_model_v2,layer,Missing,19,0.15079365079365079
baylor_gnn_cell_type_fine_model_v2,layer,L6,2,0.015873015873015872
