session,scan_idx,unit_id,id_ref,pt_root_id,pt_position,area_tag,area_value,allen_slanted_classification_system,allen_slanted_cell_type,allen_slanted_layer,multifeature_classification_system,multifeature_cell_type,multifeature_layer,baylor_gnn_classification_system,baylor_gnn_cell_type,baylor_gnn_layer
7,4,2158,292684,864691134950156796,[192032 112224  20746],V1,316.01144,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2162,292889,864691136126503206,[191888 112464  21903],V1,298.30856,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,,,Missing
7,4,2196,292666,864691135757002450,[187104 112880  20725],V1,335.88794,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,4P,L4
7,4,2197,292646,864691135738969220,[182528 117344  20379],V1,360.8778,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2199,292728,864691136058646488,[186096 114176  21111],V1,335.81412,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,,,Missing
7,4,2200,292712,864691135943593332,[182048 115584  21330],V1,348.43414,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2201,292734,864691135540272498,[187568 113216  21732],V1,317.97275,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2202,292671,864691136211325884,[188352 114080  21059],V1,328.13394,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2205,292838,864691135701629474,[184416 112704  22591],V1,316.52988,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2207,292951,864691135587666812,[187312 111232  22632],V1,302.922,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2237,256470,864691135336847849,[179216 115136  20457],V1,372.0809,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,,,Missing
7,4,2238,256456,864691136138779517,[176112 114336  20769],V1,380.1582,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2239,292820,864691135067961412,[180096 113808  22118],V1,342.68457,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,4P,L4
7,4,2240,256638,864691135572576237,[175792 116256  21925],V1,363.73703,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2241,256669,864691135498973715,[178880 112496  21851],V1,350.3436,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,5P-IT,L5
7,4,2277,256512,864691135573191405,[169472 115888  21788],V1,389.98874,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
7,4,2278,256609,864691137198691137,[170464 112688  22069],V1,382.25616,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,,,Missing
7,4,2280,256607,864691135947258916,[170208 113008  22507],V1,374.56433,aibs_coarse_excitatory,23P,L2/3,excitatory,L2IT,L2,baylor_gnn_cell_type_fine,23P,L2/3
