id,size,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position,ctr_pt_position,pre_unit_id,post_unit_id
184644975,6640,91276027439303979,864691135760319822,91276096158784859,864691135701629474,[192580 118978  22419],[192598 118998  22407],[192580 118962  22412],9427,2205
145658151,19488,87756421932304781,864691136177778950,87756421932302944,864691135943593332,[167274 110092  21979],[167372 110148  21979],[167302 110108  21978],2648,2200
156723246,3624,89162559663456627,864691136380816597,89162559663456632,864691134950156796,[177598 100836  20006],[177682 100880  20007],[177664 100822  20006],9000,2158
136710090,16908,87684266213213207,864691136453442303,87684266213214948,864691134950156796,[166858  96686  19912],[166774  96614  19914],[166816  96622  19915],8914,2158
185088523,4996,91204627969734421,864691135760319822,91204627969732192,864691135701629474,[192488 111170  22610],[192462 111142  22606],[192567 111140  22606],9427,2205
151260887,8396,88461277470579281,864691135540272498,88461277470576640,864691136058646488,[172368 118506  20623],[172366 118486  20620],[172416 118496  20620],2201,2199
143241219,1996,88039820852695868,864691136211325884,88039820852687171,864691135738969220,[169250 124394  20131],[169272 124422  20123],[169283 124426  20127],2202,2197
173353498,23176,90289628137289785,864691135741930603,90289628137299976,864691135540272498,[185518 109502  22879],[185482 109422  22887],[185472 109496  22883],5908,2201
204840906,380,93173028594639373,864691135738969220,93173028594640280,864691135587666812,[206674  96720  22481],[206616  96602  22480],[206638  96646  22481],2197,2207
185587600,2248,91555990184432578,864691135802341986,91555990184437432,864691135757002450,[194648 107380  18952],[194594 107352  18960],[194596 107352  18953],9390,2196
184568419,10968,91345777707850766,864691136126503206,91345777707856197,864691135701629474,[193194 114008  22100],[193292 114010  22110],[193238 113940  22105],2162,2205
163754126,940,90009115300487829,864691135703164283,90009115300480555,864691136211325884,[183480 116598  23517],[183620 116694  23512],[183558 116674  23516],9330,2202
177943947,10928,90641334150539894,864691136314404669,90641334150531872,864691136211325884,[188064 108648  20591],[188032 108604  20582],[188076 108591  20593],2484,2202
178957805,3196,90923771401152432,864691136453442303,90923771401148429,864691136211325884,[190120 115778  22048],[189992 115772  22046],[190073 115718  22045],8914,2202
